,area,year,dollars,population,grp_per_capita,last_update
0,06073,2019,244278846457.5,3330458,73346.92299302378,2024-07-17
1,06073,2020,244822303264.04,3296045,74277.59732165065,2024-07-17
2,06073,2021,268873550391.04,3274954,82099.94717209463,2024-07-17
3,06073,2022,296683894891.99,3276208,90557.0998214979,2024-07-17
4,06073,2023,308710843090.86,3252468,94915.87406574331,2024-07-17
5,06,2019,2988922635912.63,39437610,75788.63516102091,2024-07-17
6,06,2020,2961220972406.21,39501653,74964.48243333539,2024-07-17
7,06,2021,3310971279555.43,39142990,84586.57040648734,2024-07-17
8,06,2022,3537472975398.0503,39029341,90636.24659709346,2024-07-17
9,06,2023,3650092494382.46,38913701,93799.67467968313,2024-07-17
10,000,2019,20932206705691.04,328329953,63753.57019495276,2024-07-17
11,000,2020,20605670032083.35,331511512,62156.725441508504,2024-07-17
12,000,2021,22863031609317.27,332031554,68858.00862564186,2024-07-17
13,000,2022,24959572656548.07,333287557,74889.002401455,2024-07-17
14,000,2023,25958622498968.79,335528243,77366.43051824639,2024-07-17
