,area,year,month,month_num,unemployment_rate
0,06073,2024,sep,9,4.554105696245299
1,06073,2024,aug,8,5.050989186463119
2,06073,2024,jul,7,4.913663374037977
3,06073,2024,jun,6,4.475814024369037
4,06073,2024,may,5,3.6511316641300597
5,06073,2024,apr,4,4.125603208047305
6,06073,2024,mar,3,4.425977154678203
7,06073,2024,feb,2,4.773122472451121
8,06073,2024,jan,1,4.747701856666963
9,06073,2023,dec,12,4.280912734154095
10,06073,2023,nov,11,4.233534541662955
11,06073,2023,oct,10,4.169599499241568
12,06,2024,sep,9,5.281705542404654
13,06,2024,aug,8,5.861998323445864
14,06,2024,jul,7,5.79540786172197
15,06,2024,jun,6,5.328364969489625
16,06,2024,may,5,4.550315427842159
17,06,2024,apr,4,4.86043436886476
18,06,2024,mar,3,5.354244557380344
19,06,2024,feb,2,5.595209893434292
20,06,2024,jan,1,5.721258047575033
21,06,2023,dec,12,5.055999370833223
22,06,2023,nov,11,4.8806396583484855
23,06,2023,oct,10,4.826429808266428
24,000,2024,sep,9,3.869957467718394
25,000,2024,aug,8,4.393737759636611
26,000,2024,jul,7,4.528132082795958
27,000,2024,jun,6,4.27992677008482
28,000,2024,may,5,3.7204939311798477
29,000,2024,apr,4,3.518986077489105
30,000,2024,mar,3,3.931765205398351
31,000,2024,feb,2,4.166645943595019
32,000,2024,jan,1,4.0725197354460105
33,000,2023,dec,12,3.5440168954001643
34,000,2023,nov,11,3.470367468950855
35,000,2023,oct,10,3.6405279265983643
