,area,year,med_home_price,last_update
0,02411782,2019,658400,2024-11-15
1,02411782,2021,768800,2024-11-15
2,02411782,2022,905300,2024-11-15
3,02411782,2023,923900,2024-11-15
4,02411782,2020,751900,2024-11-15
5,06,2019,568500,2024-11-15
6,06,2021,648100,2024-11-15
7,06,2022,715900,2024-11-15
8,06,2023,725800,2024-11-15
9,06,2020,619083,2024-11-15
10,000,2019,240500,2024-11-15
11,000,2021,281400,2024-11-15
12,000,2022,320900,2024-11-15
13,000,2023,340200,2024-11-15
14,000,2020,271716,2024-11-15
