,area,year,total_households,med_income,last_update,area_name
0,04013,2019,1611722,92992,2024-11-15,"Maricopa County, AZ"
1,04013,2021,1708034,103382,2024-11-15,"Maricopa County, AZ"
2,04013,2022,1726554,111774,2024-11-15,"Maricopa County, AZ"
3,04013,2023,1753589,116757,2024-11-15,"Maricopa County, AZ"
4,06073,2019,1132434,112786,2024-11-15,"San Diego County, CA"
5,06073,2021,1162896,121451,2024-11-15,"San Diego County, CA"
6,06073,2022,1172343,129976,2024-11-15,"San Diego County, CA"
7,06073,2023,1181259,139510,2024-11-15,"San Diego County, CA"
8,12086,2019,912805,82803,2024-11-15,"Miami-Dade County, FL"
9,12086,2021,963477,88649,2024-11-15,"Miami-Dade County, FL"
10,12086,2022,983509,101964,2024-11-15,"Miami-Dade County, FL"
11,12086,2023,985935,107855,2024-11-15,"Miami-Dade County, FL"
12,26163,2019,689270,70465,2024-11-15,"Wayne County, MI"
13,26163,2021,695038,76508,2024-11-15,"Wayne County, MI"
14,26163,2022,691389,79420,2024-11-15,"Wayne County, MI"
15,26163,2023,696332,80604,2024-11-15,"Wayne County, MI"
16,04013,2020,1653157,99896,2024-11-15,"Maricopa County, AZ"
17,06073,2020,1151043,118862,2024-11-15,"San Diego County, CA"
18,12086,2020,935670,89075,2024-11-15,"Miami-Dade County, FL"
19,26163,2020,690593,73032,2024-11-15,"Wayne County, MI"
